Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;11;12;13;11;11
1;10;11;12;10;10
2;9;10;11;10;10
3;9;10;11;10;10
4;9;10;11;11;10
5;10;10;12;10;10
6;9;10;11;9;9
7;9;10;11;10;9
8;9;10;12;10;9
9;9;10;11;11;9
10;10;11;12;12;9
11;11;11;13;11;9
12;10;11;12;12;9
13;11;11;13;11;9
14;10;11;12;10;9
15;9;10;11;9;9
16;9;10;11;9;9
17;9;9;10;10;9
18;9;10;11;11;9
19;10;11;12;10;9
20;9;10;11;9;9
21;9;9;10;9;9
22;9;10;11;9;9
23;9;10;10;10;9
24;9;11;11;9;9
25;9;10;10;10;9
26;9;10;11;9;9
27;9;9;10;9;9
28;9;10;11;10;9
29;9;10;12;9;9
30;9;10;11;10;9
31;9;10;12;12;9
32;10;12;13;11;9
33;9;11;12;12;9
34;10;12;13;11;9
35;9;11;12;12;9
36;10;12;13;11;9
37;9;11;12;12;9
38;10;12;13;11;9
39;9;11;12;10;9
40;9;11;11;10;9
41;9;10;11;9;9
42;9;10;11;9;9
43;9;9;10;9;9
44;9;10;11;9;9
45;9;9;10;9;9
46;9;10;11;9;9
47;9;9;10;9;9
48;9;10;11;9;9
49;9;9;10;10;9
50;9;10;11;10;9
51;9;10;11;9;9
52;9;10;10;10;9
53;9;10;11;11;9
54;10;11;12;11;9
55;10;11;12;10;9
56;9;10;11;10;9
57;9;10;11;10;9
58;9;10;11;9;9
59;9;9;10;10;9
60;9;10;11;11;9
61;10;11;12;10;9
62;9;10;11;9;9
63;9;10;10;9;9
64;9;10;11;9;9
65;9;9;10;10;9
66;9;10;11;11;9
67;10;11;12;10;9
68;9;10;11;9;9
69;9;9;10;9;9
70;9;10;11;10;9
71;9;10;11;9;9
72;9;9;10;10;9
73;9;10;11;10;9
74;9;10;11;10;9
75;9;10;11;11;9
76;10;11;12;10;9
77;9;10;11;9;9
78;9;9;10;10;9
79;9;10;11;9;9
80;9;10;11;9;9
81;9;10;11;9;9
82;9;9;10;9;9
83;9;10;11;9;9
84;9;9;10;9;9
85;9;10;11;9;9
86;9;9;10;9;9
87;9;10;11;10;9
88;9;10;11;10;9
89;9;10;11;11;9
90;10;11;12;12;9
91;11;12;13;11;9
92;10;11;12;10;9
93;9;10;11;11;9
94;9;10;12;10;9
95;9;10;11;9;9
96;9;10;11;9;9
97;9;10;10;9;9
98;9;10;11;9;9
99;9;9;10;9;9
